GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OsobniCisloTestPozitivniPolotovar ()/oks-prj-06/src,oks06,Hlavni,15,0,0,0,5,0,2,0,2,0
OsobniCisloTestPozitivniPolotovar ()/oks-prj-06/src,oks06,OsobniCislo,0,423,0,42,0,101,0,40,0,19
OsobniCisloTestPozitivniPolotovar ()/oks-prj-06/src,oks06,TypStudia,8,94,0,0,1,10,2,4,2,4
OsobniCisloTestPozitivniPolotovar ()/oks-prj-06/src,oks06,Konstanty,34,136,4,0,7,11,4,1,2,1
